::ffff:127.0.0.1 - - [11/Oct/2016:09:33:58 +0000] "GET /bundle.js HTTP/1.1" 303 53 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:58 +0000] "GET /contact/bundle.js HTTP/1.1" 303 69 "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:58 +0000] "GET /style.css/ HTTP/1.1" 304 - "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:58 +0000] "GET /contact/style.css/ HTTP/1.1" 304 - "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:58 +0000] "GET /bundle.js/ HTTP/1.1" 304 - "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:33:58 +0000] "GET /contact/bundle.js/ HTTP/1.1" 304 - "http://localhost:3001/contact/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:34:04 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:34:04 +0000] "GET /style.css HTTP/1.1" 303 53 "http://localhost:3001/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:34:04 +0000] "GET /bundle.js HTTP/1.1" 303 53 "http://localhost:3001/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:34:04 +0000] "GET /style.css/ HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
::ffff:127.0.0.1 - - [11/Oct/2016:09:34:04 +0000] "GET /bundle.js/ HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
